DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,6409,760,1,1,0,0
1,9362,1244,1,1,0,0
1,12125,1269,1,1,0,0
1,11649,802,1,1,0,0
1,11885,973,1,1,0,0
1,15981,1634,1,1,0,0
1,6399,646,1,1,0,0
1,14564,1681,1,1,0,0
1,16021,1834,1,1,0,0
1,9616,705,1,1,0,0
1,5404,651,1,1,0,0
1,11698,940,1,1,0,0
1,9267,1204,1,1,0,0
1,9563,930,1,1,0,0
1,9158,533,1,1,0,0
1,9989,930,1,1,0,0
1,15448,1543,1,1,0,0
1,7789,830,1,1,0,0
1,8339,637,1,1,0,0
1,10272,1024,1,1,0,0
1,7975,900,1,1,0,0
1,8781,760,1,1,0,0
1,6412,514,1,1,0,0
1,7325,724,1,1,0,0
1,9032,743,1,1,0,0
1,4726,440,1,1,0,0
1,11686,887,1,1,0,0
1,9334,1104,1,1,0,0
1,10295,660,1,1,0,0
1,10180,1301,1,1,0,0
1,16809,1332,1,1,0,0
1,11095,1386,1,1,0,0
1,7961,522,1,1,0,0
1,13080,1166,1,1,0,0
1,12066,1286,1,1,0,0
1,7814,931,1,1,0,0
1,7616,942,1,1,0,0
1,7323,463,1,1,0,0
1,6781,642,1,1,0,0
1,14956,1879,1,1,0,0
1,10305,601,1,1,0,0
1,10115,1263,1,1,0,0
1,8195,859,1,1,0,0
1,11662,1116,1,1,0,0
1,12432,827,1,1,0,0
1,10505,949,1,1,0,0
1,9556,709,1,1,0,0
1,12437,1112,1,1,0,0
1,7160,974,1,1,0,0
1,6917,1507,1,1,0,0
1,22649,2348,1,1,0,0
1,9796,826,1,1,0,0
1,10677,822,1,1,0,0
1,10177,1097,1,1,0,0
1,9429,893,1,1,0,0
1,9438,673,1,1,0,0
1,7014,601,1,1,0,0
1,4911,458,1,1,0,0
1,6718,497,1,1,0,0
1,11097,755,1,1,0,0
1,17435,1922,1,1,0,0
1,10913,1063,1,1,0,0
1,13568,1054,1,1,0,0
1,16100,1836,1,1,0,0
1,13773,1136,1,1,0,0
1,16033,1231,1,1,0,0
1,10096,911,1,1,0,0
1,4031,506,1,1,0,0
1,15213,1609,1,1,0,0
1,16531,1296,1,1,0,0
1,10916,699,1,1,0,0
1,11748,1186,1,1,0,0
1,12790,1171,1,1,0,0
1,7563,748,1,1,0,0
1,5423,702,1,1,0,0
1,11496,1133,1,1,0,0
1,8723,535,1,1,0,0
1,10419,1186,1,1,0,0
1,7064,544,1,1,0,0
1,4974,361,1,1,0,0
1,21836,2437,1,1,0,0
1,16694,1352,1,1,0,0
1,16858,1925,1,1,0,0
1,7527,506,1,1,0,0
1,7847,530,1,1,0,0
1,8639,621,1,1,0,0
1,9205,1252,1,1,0,0
1,14191,1034,1,1,0,0
1,9250,675,1,1,0,0
1,6292,513,1,1,0,0
1,10541,1107,1,1,0,0
1,7085,850,1,1,0,0
1,10883,1176,1,1,0,0
1,18150,1906,1,1,0,0
1,10598,925,1,1,0,0
1,21755,3351,1,1,0,0
1,6453,744,1,1,0,0
1,7903,614,1,1,0,0
1,11309,1096,1,1,0,0
1,8053,920,1,1,0,0
1,6418,496,1,1,0,0
1,6025,801,1,1,0,0
1,7095,893,1,1,0,0
1,10043,650,1,1,0,0
1,10053,783,1,1,0,0
1,5558,400,1,1,0,0
1,12222,769,1,1,0,0
1,10561,796,1,1,0,0
1,13927,1670,1,1,0,0
1,6295,623,1,1,0,0
1,10035,823,1,1,0,0
1,10735,1038,1,1,0,0
1,11621,1531,1,1,0,0
1,10153,921,1,1,0,0
1,10766,1113,1,1,0,0
1,6946,653,1,1,0,0
1,6094,496,1,1,0,0
1,6271,976,1,1,0,0
1,19694,2537,1,1,0,0
1,12069,802,1,1,0,0
1,8328,803,1,1,0,0
1,8130,747,1,1,0,0
1,7256,470,1,1,0,0
1,7081,551,1,1,0,0
1,6560,689,1,1,0,0
1,11406,1284,1,1,0,0
1,5265,557,1,1,0,0
1,20300,2180,1,1,0,0
1,5935,801,1,1,0,0
1,6825,839,1,1,0,0
1,8159,950,1,1,0,0
1,11629,974,1,1,0,0
1,10266,781,1,1,0,0
1,6708,428,1,1,0,0
1,9780,864,1,1,0,0
1,11072,1177,1,1,0,0
1,9118,660,1,1,0,0
1,10408,603,1,1,0,0
1,8502,819,1,1,0,0
1,6990,674,1,1,0,0
1,16030,1425,1,1,0,0
1,6843,662,1,1,0,0
1,6491,714,1,1,0,0
1,6989,527,1,1,0,0
1,8852,501,1,1,0,0
1,8981,1140,1,1,0,0
1,8528,1020,1,1,0,0
1,13801,1537,1,1,0,0
1,11709,1027,1,1,0,0
1,10255,801,1,1,0,0
1,9895,660,1,1,0,0
1,6962,601,1,1,0,0
1,9928,830,1,1,0,0
1,8455,1035,1,1,0,0
1,5990,541,1,1,0,0
1,10709,1049,1,1,0,0
1,10548,881,1,1,0,0
1,9098,818,1,1,0,0
1,13773,1045,1,1,0,0
1,9366,833,1,1,0,0
1,9914,1084,1,1,0,0
1,7971,680,1,1,0,0
1,11676,1086,1,1,0,0
1,7738,812,1,1,0,0
1,7039,492,1,1,0,0
1,11846,1019,1,1,0,0
1,9743,888,1,1,0,0
1,11200,1066,1,1,0,0
1,10247,788,1,1,0,0
1,7272,554,1,1,0,0
1,7150,662,1,1,0,0
1,15863,1071,1,1,0,0
1,9141,734,1,1,0,0
1,5446,579,1,1,0,0
1,9963,1152,1,1,0,0
1,0,0,0,1,0,0
1,16447,1658,1,1,0,0
1,5440,705,1,1,0,0
1,8077,856,1,1,0,0
1,9486,693,1,1,0,0
1,6180,534,1,1,0,0
1,7434,699,1,1,0,0
1,9812,1134,1,1,0,0
1,11076,974,1,1,0,0
1,8614,626,1,1,0,0
1,12103,1070,1,1,0,0
1,12900,956,1,1,0,0
1,4096,473,1,1,0,0
1,11048,1193,1,1,0,0
1,8346,759,1,1,0,0
1,8478,861,1,1,0,0
1,7206,664,1,1,0,0
1,9298,716,1,1,0,0
1,13413,1061,1,1,0,0
1,6477,738,1,1,0,0
1,8319,869,1,1,0,0
1,12747,1574,1,1,0,0
1,9597,793,1,1,0,0
1,11930,914,1,1,0,0
1,11738,1338,1,1,0,0
1,5488,402,1,1,0,0
1,9395,840,1,1,0,0
1,8615,779,1,1,0,0
1,9844,1436,1,1,0,0
1,9683,706,1,1,0,0
1,0,0,0,1,0,0
1,5995,520,1,1,0,0
1,9472,1981,1,1,0,0
1,10190,722,1,1,0,0
1,12621,1207,1,1,0,0
1,14291,1375,1,1,0,0
1,5789,867,1,1,0,0
1,4874,575,1,1,0,0
1,17603,2296,1,1,0,0
1,12466,1153,1,1,0,0
1,11490,777,1,1,0,0
1,10022,764,1,1,0,0
1,10512,1056,1,1,0,0
1,10614,866,1,1,0,0
1,6107,486,1,1,0,0
1,9799,890,1,1,0,0
1,8352,1031,1,1,0,0
1,11197,755,1,1,0,0
1,10823,1148,1,1,0,0
1,11981,770,1,1,0,0
1,9248,828,1,1,0,0
1,9743,738,1,1,0,0
1,16209,1282,1,1,0,0
1,22280,2560,1,1,0,0
1,9369,1041,1,1,0,0
1,7381,762,1,1,0,0
1,8254,716,1,1,0,0
1,5406,405,1,1,0,0
1,5428,501,1,1,0,0
1,15320,1490,1,1,0,0
1,12610,1338,1,1,0,0
1,7923,580,1,1,0,0
1,13094,1225,1,1,0,0
1,7333,633,1,1,0,0
1,14209,1742,1,1,0,0
1,6595,486,1,1,0,0
1,11226,665,1,1,0,0
1,7293,569,1,1,0,0
1,13186,1419,1,1,0,0
1,6086,437,1,1,0,0
1,10040,1023,1,1,0,0
1,7406,488,1,1,0,0
1,10946,876,1,1,0,0
1,11446,1096,1,1,0,0
1,5020,421,1,1,0,0
1,9331,770,1,1,0,0
1,9134,806,1,1,0,0
1,12293,1701,1,1,0,0
1,11969,829,1,1,0,0
1,8743,800,1,1,0,0
1,6766,619,1,1,0,0
1,17207,1529,1,1,0,0
1,7352,640,1,1,0,0
1,6335,483,1,1,0,0
1,16074,1425,1,1,0,0
1,10197,1123,1,1,0,0
1,13733,1189,1,1,0,0
1,6419,647,1,1,0,0
1,18633,3454,1,1,0,0
1,9021,725,1,1,0,0
1,9343,819,1,1,0,0
1,8443,714,1,1,0,0
1,10703,1287,1,1,0,0
1,11236,824,1,1,0,0
1,15643,1082,1,1,0,0
1,10054,625,1,1,0,0
1,11259,1177,1,1,0,0
1,12249,1171,1,1,0,0
1,6136,620,1,1,0,0
1,8594,897,1,1,0,0
1,12588,1026,1,1,0,0
1,9528,705,1,1,0,0
1,10822,839,1,1,0,0
1,8017,582,1,1,0,0
1,8170,844,1,1,0,0
1,6470,456,1,1,0,0
1,6066,673,1,1,0,0
1,9107,674,1,1,0,0
1,12650,995,1,1,0,0
1,10598,1092,1,1,0,0
1,14744,1108,1,1,0,0
1,20542,2628,1,1,0,0
1,9133,698,1,1,0,0
1,6654,738,1,1,0,0
1,11156,1028,1,1,0,0
1,8075,1182,1,1,0,0
1,13302,1365,1,1,0,0
1,5934,510,1,1,0,0
1,8047,687,1,1,0,0
1,5379,506,1,1,0,0
1,12035,871,1,1,0,0
1,8754,660,1,1,0,0
1,8758,775,1,1,0,0
1,18665,1734,1,1,0,0
1,13812,3655,1,1,0,0
1,10579,979,1,1,0,0
1,9028,788,1,1,0,0
1,6706,920,1,1,0,0
1,7280,872,1,1,0,0
1,10611,679,1,1,0,0
1,6579,678,1,1,0,0
1,6292,448,1,1,0,0
1,7242,925,1,1,0,0
1,13215,1065,1,1,0,0
1,10720,1096,1,1,0,0
1,7928,936,1,1,0,0
1,7240,595,1,1,0,0
1,9436,841,1,1,0,0
1,10755,1012,1,1,0,0
1,10897,795,1,1,0,0
1,5579,775,1,1,0,0
1,14665,1541,1,1,0,0
1,24521,2158,1,1,0,0
1,3562,458,1,1,0,0
1,9926,820,1,1,0,0
1,12915,1188,1,1,0,0
1,12655,960,1,1,0,0
1,8688,689,1,1,0,0
1,3739,624,1,1,0,0
1,7797,654,1,1,0,0
1,10721,871,1,1,0,0
1,5764,492,1,1,0,0
1,12949,1380,1,1,0,0
1,14311,1150,1,1,0,0
1,6984,609,1,1,0,0
1,7165,576,1,1,0,0
1,9546,625,1,1,0,0
1,9909,675,1,1,0,0
1,6868,512,1,1,0,0
1,9140,716,1,1,0,0
1,10190,707,1,1,0,0
1,12209,1162,1,1,0,0
1,9758,722,1,1,0,0
1,15577,1074,1,1,0,0
1,7958,578,1,1,0,0
1,4891,726,1,1,0,0
1,9778,1131,1,1,0,0
1,7998,764,1,1,0,0
1,14307,960,1,1,0,0
1,8028,701,1,1,0,0
1,7691,918,1,1,0,0
1,24530,3071,1,1,0,0
1,10834,959,1,1,0,0
1,8307,668,1,1,0,0
1,13135,1113,1,1,0,0
1,10622,1130,1,1,0,0
1,10751,743,1,1,0,0
1,7776,684,1,1,0,0
1,8767,1033,1,1,0,0
1,5905,621,1,1,0,0
1,12408,1000,1,1,0,0
1,14979,1577,1,1,0,0
1,8228,842,1,1,0,0
1,7940,884,1,1,0,0
1,10748,779,1,1,0,0
1,19206,2017,1,1,0,0
1,10076,711,1,1,0,0
1,7482,614,1,1,0,0
1,9244,898,1,1,0,0
1,8445,843,1,1,0,0
1,10800,1151,1,1,0,0
1,6251,705,1,1,0,0
1,11486,1048,1,1,0,0
1,5728,695,1,1,0,0
1,10816,1330,1,1,0,0
1,4691,542,1,1,0,0
1,21852,1271,1,1,0,0
1,10887,1171,1,1,0,0
1,6926,610,1,1,0,0
1,5800,351,1,1,0,0
1,14568,1124,1,1,0,0
1,9178,1131,1,1,0,0
1,9310,990,1,1,0,0
1,11289,1092,1,1,0,0
1,10628,921,1,1,0,0
1,5804,452,1,1,0,0
1,6841,743,1,1,0,0
1,11368,1158,1,1,0,0
1,8569,755,1,1,0,0
1,10199,859,1,1,0,0
1,10698,1129,1,1,0,0
1,6168,469,1,1,0,0
1,9150,802,1,1,0,0
1,5141,622,1,1,0,0
1,10104,1209,1,1,0,0
1,10816,1105,1,1,0,0
1,6200,762,1,1,0,0
1,10160,789,1,1,0,0
1,9852,628,1,1,0,0
1,6407,517,1,1,0,0
1,13141,819,1,1,0,0
1,9851,1241,1,1,0,0
1,7892,960,1,1,0,0
1,9168,595,1,1,0,0
1,11012,1054,1,1,0,0
1,5388,595,1,1,0,0
1,6723,658,1,1,0,0
1,7749,643,1,1,0,0
1,14345,1428,1,1,0,0
1,8109,972,1,1,0,0
1,12960,1056,1,1,0,0
1,5619,471,1,1,0,0
1,9919,948,1,1,0,0
1,7650,961,1,1,0,0
1,8089,958,1,1,0,0
1,6934,639,1,1,0,0
1,8348,757,1,1,0,0
1,7480,906,1,1,0,0
1,9913,790,1,1,0,0
1,9106,704,1,1,0,0
1,10673,888,1,1,0,0
1,5960,566,1,1,0,0
1,8325,572,1,1,0,0
1,9843,1300,1,1,0,0
1,12360,1075,1,1,0,0
1,6446,783,1,1,0,0
1,13041,1290,1,1,0,0
1,11742,987,1,1,0,0
1,7454,1069,1,1,0,0
1,3830,383,1,1,0,0
1,11319,1090,1,1,0,0
1,9043,855,1,1,0,0
1,7329,581,1,1,0,0
1,10944,849,1,1,0,0
1,6212,702,1,1,0,0
1,14001,844,1,1,0,0
1,7516,592,1,1,0,0
1,10287,1397,1,1,0,0
1,15509,1703,1,1,0,0
1,8362,936,1,1,0,0
1,7092,494,1,1,0,0
1,15537,1320,1,1,0,0
1,8667,767,1,1,0,0
1,13681,1184,1,1,0,0
1,6332,798,1,1,0,0
1,12932,1465,1,1,0,0
1,12848,1394,1,1,0,0
1,7812,538,1,1,0,0
1,7272,867,1,1,0,0
1,9939,963,1,1,0,0
1,8398,775,1,1,0,0
1,8089,886,1,1,0,0
1,8308,784,1,1,0,0
1,12424,1419,1,1,0,0
1,9558,830,1,1,0,0
1,6719,756,1,1,0,0
1,7212,603,1,1,0,0
1,6975,1135,1,1,0,0
1,11428,750,1,1,0,0
1,10677,1190,1,1,0,0
1,14376,1040,1,1,0,0
1,7549,825,1,1,0,0
1,9610,1307,1,1,0,0
1,4080,406,1,1,0,0
1,9649,813,1,1,0,0
1,11352,1240,1,1,0,0
1,9582,869,1,1,0,0
1,7631,753,1,1,0,0
1,8633,998,1,1,0,0
1,10821,758,1,1,0,0
1,12911,1219,1,1,0,0
1,8928,732,1,1,0,0
1,9748,950,1,1,0,0
1,6701,652,1,1,0,0
1,9270,598,1,1,0,0
1,8921,702,1,1,0,0
1,9749,1336,1,1,0,0
1,5427,631,1,1,0,0
1,6089,714,1,1,0,0
1,8940,1033,1,1,0,0
1,8208,1964,1,1,0,0
1,8616,688,1,1,0,0
1,8085,691,1,1,0,0
1,11621,941,1,1,0,0
1,7535,560,1,1,0,0
1,8360,746,1,1,0,0
1,10752,1113,1,1,0,0
1,7412,615,1,1,0,0
1,5689,636,1,1,0,0
1,12801,1215,1,1,0,0
1,5107,645,1,1,0,0
1,11684,1099,1,1,0,0
1,9666,694,1,1,0,0
1,8947,867,1,1,0,0
1,11411,1282,1,1,0,0
1,17677,1547,1,1,0,0
1,12163,1424,1,1,0,0
1,12072,1127,1,1,0,0
1,7001,793,1,1,0,0
1,12183,1131,1,1,0,0
1,10866,1152,1,1,0,0
1,4718,712,1,1,0,0
1,5018,560,1,1,0,0
1,12051,1219,1,1,0,0
1,6163,582,1,1,0,0
1,11830,1211,1,1,0,0
1,15068,1926,1,1,0,0
1,10217,857,1,1,0,0
1,11099,963,1,1,0,0
1,7636,700,1,1,0,0
1,11904,1438,1,1,0,0
1,9986,877,1,1,0,0
1,10429,716,1,1,0,0
1,10523,1021,1,1,0,0
1,12834,1040,1,1,0,0
1,13270,1465,1,1,0,0
1,9760,920,1,1,0,0
1,10329,880,1,1,0,0
1,6810,799,1,1,0,0
1,10099,1123,1,1,0,0
1,5174,747,1,1,0,0
1,6417,671,1,1,0,0
1,9537,725,1,1,0,0
1,7796,646,1,1,0,0
1,8434,914,1,1,0,0
1,11033,989,1,1,0,0
1,9093,724,1,1,0,0
1,14219,1019,1,1,0,0
1,12525,1089,1,1,0,0
1,8128,550,1,1,0,0
1,5941,589,1,1,0,0
1,13882,924,1,1,0,0
1,7727,679,1,1,0,0
1,8415,862,1,1,0,0
1,8599,973,1,1,0,0
1,11147,978,1,1,0,0
1,8217,545,1,1,0,0
1,8205,1070,1,1,0,0
1,9555,1220,1,1,0,0
1,8328,891,1,1,0,0
1,5907,505,1,1,0,0
1,12697,974,1,1,0,0
1,10283,1034,1,1,0,0
1,7140,564,1,1,0,0
1,6188,587,1,1,0,0
1,21631,1972,1,1,0,0
1,8583,603,1,1,0,0
1,10044,734,1,1,0,0
1,9849,1229,1,1,0,0
1,14792,1551,1,1,0,0
1,13799,988,1,1,0,0
1,11420,1275,1,1,0,0
1,10647,1247,1,1,0,0
1,12164,1189,1,1,0,0
1,7356,684,1,1,0,0
1,7294,821,1,1,0,0
1,9343,1064,1,1,0,0
1,14600,1523,1,1,0,0
1,20454,1981,1,1,0,0
1,9069,862,1,1,0,0
1,8776,1140,1,1,0,0
1,5342,435,1,1,0,0
1,8451,628,1,1,0,0
1,13056,1225,1,1,0,0
1,19211,1645,1,1,0,0
1,11921,1111,1,1,0,0
1,8063,816,1,1,0,0
1,6954,571,1,1,0,0
1,9215,1023,1,1,0,0
1,7358,590,1,1,0,0
1,10288,1175,1,1,0,0
1,13323,1129,1,1,0,0
1,7138,729,1,1,0,0
1,6706,758,1,1,0,0
1,9787,1206,1,1,0,0
1,9281,1099,1,1,0,0
1,8568,963,1,1,0,0
1,12816,920,1,1,0,0
1,7736,731,1,1,0,0
1,10694,705,1,1,0,0
1,5099,728,1,1,0,0
1,10162,647,1,1,0,0
1,11676,1361,1,1,0,0
1,10802,941,1,1,0,0
1,13991,1332,1,1,0,0
1,9281,799,1,1,0,0
1,10257,1197,1,1,0,0
1,6108,487,1,1,0,0
1,7946,702,1,1,0,0
1,10110,839,1,1,0,0
1,11218,1073,1,1,0,0
1,11072,773,1,1,0,0
1,9120,732,1,1,0,0
1,13902,1414,1,1,0,0
1,4698,448,1,1,0,0
1,13447,1296,1,1,0,0
1,8143,622,1,1,0,0
1,6071,364,1,1,0,0
1,9698,1014,1,1,0,0
1,10070,1112,1,1,0,0
1,7305,823,1,1,0,0
1,10436,822,1,1,0,0
1,9792,1094,1,1,0,0
1,8470,746,1,1,0,0
1,13685,1205,1,1,0,0
1,6648,887,1,1,0,0
1,7510,657,1,1,0,0
1,11465,744,1,1,0,0
1,12639,871,1,1,0,0
1,11404,878,1,1,0,0
1,7071,990,1,1,0,0
1,9538,1184,1,1,0,0
1,6990,429,1,1,0,0
1,8994,1029,1,1,0,0
1,10517,969,1,1,0,0
1,10137,995,1,1,0,0
1,8598,749,1,1,0,0
1,8251,641,1,1,0,0
1,14656,1296,1,1,0,0
1,10160,1111,1,1,0,0
1,12051,917,1,1,0,0
1,14520,1296,1,1,0,0
1,10977,1055,1,1,0,0
1,5989,389,1,1,0,0
1,6851,807,1,1,0,0
1,9248,916,1,1,0,0
1,11844,2544,1,1,0,0
1,8097,995,1,1,0,0
1,9501,939,1,1,0,0
1,8794,877,1,1,0,0
1,15153,1252,1,1,0,0
1,9247,876,1,1,0,0
1,7471,539,1,1,0,0
1,7300,512,1,1,0,0
1,8628,821,1,1,0,0
1,6244,643,1,1,0,0
1,10095,842,1,1,0,0
1,11558,973,1,1,0,0
1,6491,491,1,1,0,0
1,8033,801,1,1,0,0
1,8445,614,1,1,0,0
1,16457,1207,1,1,0,0
1,8069,763,1,1,0,0
1,9717,572,1,1,0,0
5,4651,548,1,1,0,0
5,4727,544,1,1,0,0
5,7204,742,1,1,0,0
5,10421,1391,1,1,0,0
5,9063,921,1,1,0,0
5,6002,650,1,1,0,0
5,7490,634,1,1,0,0
5,5743,595,1,1,0,0
5,6544,903,1,1,0,0
5,6996,834,1,1,0,0
5,5966,651,1,1,0,0
5,7151,688,1,1,0,0
5,8058,878,1,1,0,0
5,6852,853,1,1,0,0
5,7791,865,1,1,0,0
5,7540,673,1,1,0,0
5,5906,555,1,1,0,0
5,5829,530,1,1,0,0
5,10532,896,1,1,0,0
5,12195,1649,1,1,0,0
5,7686,643,1,1,0,0
5,9467,1045,1,1,0,0
5,5016,573,1,1,0,0
5,8789,777,1,1,0,0
5,5019,658,1,1,0,0
5,6489,622,1,1,0,0
5,9234,860,1,1,0,0
5,8054,961,1,1,0,0
5,10083,768,1,1,0,0
5,7288,816,1,1,0,0
5,5944,550,1,1,0,0
5,4363,517,1,1,0,0
5,3929,495,1,1,0,0
5,10957,1060,1,1,0,0
5,7954,675,1,1,0,0
5,6062,701,1,1,0,0
5,5438,439,1,1,0,0
5,7496,887,1,1,0,0
5,4353,449,1,1,0,0
5,6836,517,1,1,0,0
5,4093,360,1,1,0,0
5,5377,544,1,1,0,0
5,8586,775,1,1,0,0
5,8088,525,1,1,0,0
5,6079,607,1,1,0,0
5,4870,582,1,1,0,0
5,7633,796,1,1,0,0
5,7694,690,1,1,0,0
5,11856,884,1,1,0,0
5,5973,498,1,1,0,0
5,6581,526,1,1,0,0
5,8276,842,1,1,0,0
5,5837,866,1,1,0,0
5,8774,1181,1,1,0,0
5,7645,724,1,1,0,0
5,6587,585,1,1,0,0
5,5347,555,1,1,0,0
5,5414,737,1,1,0,0
5,6165,647,1,1,0,0
5,8556,704,1,1,0,0
5,4253,545,1,1,0,0
5,5512,555,1,1,0,0
5,8545,664,1,1,0,0
5,9630,860,1,1,0,0
5,3816,369,1,1,0,0
5,12834,1329,1,1,0,0
5,6708,952,1,1,0,0
5,5145,641,1,1,0,0
5,4882,626,1,1,0,0
5,5937,651,1,1,0,0
5,7661,920,1,1,0,0
5,4792,538,1,1,0,0
5,6779,584,1,1,0,0
