sex,age,traveltime,studytime,failures,schoolsup,famsup,paid,internet,freetime,health,absences,graduated
1,22,1,1,3,0,0,0,1,4,1,16,0
1,18,1,2,1,0,1,0,1,3,5,8,0
1,16,1,1,0,0,0,1,1,3,5,0,1
1,18,2,1,1,0,0,0,1,4,5,0,0
1,16,3,2,0,1,1,0,1,3,2,6,1
1,18,1,1,1,0,0,0,1,2,5,4,0
1,16,2,1,0,0,0,0,0,3,3,0,0
1,17,1,1,0,0,0,0,1,4,5,0,1
1,17,2,1,1,0,1,0,1,4,5,2,0
0,17,1,4,0,0,1,1,1,2,4,6,1
1,19,1,2,0,0,1,0,1,3,1,12,1
1,18,1,2,0,0,0,0,1,2,4,8,1
0,17,1,4,0,0,0,1,1,4,2,0,0
0,18,1,2,0,0,1,1,1,1,2,21,1
1,18,1,2,0,0,1,1,1,3,3,2,0
1,18,1,3,0,0,0,0,0,3,3,1,1
0,17,1,3,0,0,0,0,0,2,4,4,0
0,18,1,3,0,0,1,1,1,3,3,0,0
1,18,2,2,0,0,1,1,1,2,1,13,1
1,17,1,2,0,0,0,1,1,4,5,2,1
0,18,2,2,0,0,0,1,1,3,4,8,1
1,18,1,2,0,0,1,1,1,4,5,10,1
0,18,2,2,0,0,1,0,1,3,3,0,0
0,19,1,2,2,0,1,1,1,3,5,15,0
0,18,1,4,0,0,1,1,1,5,2,4,1
0,18,2,2,0,0,1,1,0,4,3,2,1
1,17,1,2,0,0,1,1,0,5,1,2,1
0,17,2,2,0,0,1,1,1,3,1,2,1
0,17,2,2,0,1,1,1,1,4,5,6,1
0,18,2,2,0,0,0,0,1,1,5,75,0
1,18,2,1,0,0,0,1,1,2,3,22,0
0,18,1,2,1,1,1,0,1,4,4,15,0
1,18,2,1,0,0,0,1,1,2,1,8,1
1,17,2,1,0,0,0,1,1,5,5,30,0
1,17,1,1,1,0,0,0,1,4,3,19,1
0,18,2,4,0,0,1,1,0,2,3,1,1
0,18,2,2,0,1,0,0,1,4,4,4,1
0,17,1,2,0,0,1,0,1,4,5,4,1
1,17,1,2,0,0,0,1,1,3,4,2,1
0,18,1,3,0,0,1,1,1,3,2,5,1
0,17,1,3,0,0,1,1,1,3,3,6,1
1,18,1,3,0,0,0,1,1,2,2,6,1
1,18,1,2,0,0,1,1,1,4,2,9,1
1,18,1,2,0,0,1,1,1,3,5,11,1
0,17,1,3,0,0,1,1,1,2,3,0,1
0,18,1,2,1,0,0,0,1,4,5,12,1
0,17,2,4,0,0,1,1,0,1,3,6,1
1,18,2,3,0,0,1,1,1,4,4,8,1
1,17,1,1,0,0,1,1,1,4,5,4,1
0,19,2,2,0,0,1,1,1,3,2,0,0
0,18,2,2,0,0,1,1,1,4,2,10,0
0,18,1,4,0,0,1,1,1,3,3,0,1
1,18,1,1,0,0,1,1,1,4,1,5,1
0,18,1,2,0,0,1,0,1,2,4,14,1
1,17,2,1,0,0,0,1,1,1,5,0,1
0,17,2,3,0,0,1,1,1,3,3,0,1
0,17,1,4,0,0,1,1,1,2,5,0,1
1,19,1,2,1,0,1,0,1,4,3,20,1
0,18,1,2,1,0,1,1,1,4,3,8,1
1,20,1,1,0,0,0,0,0,5,5,0,1
1,19,2,1,1,0,1,1,1,3,4,38,0
1,19,1,2,1,0,0,0,0,5,5,0,1
0,19,1,2,1,1,1,0,1,4,3,18,1
0,19,1,2,1,0,0,0,0,2,3,0,0
0,19,3,2,0,0,1,0,1,4,2,20,1
1,19,1,2,1,0,0,0,1,5,4,3,1
0,19,2,2,1,0,1,1,1,2,1,22,1
0,19,1,3,2,0,0,0,1,1,3,14,1
0,19,1,3,1,0,0,0,1,1,3,40,1
0,18,2,2,0,0,1,1,1,3,1,0,0
0,18,1,3,0,0,1,1,1,3,5,9,0
0,17,1,3,0,0,1,1,1,3,5,0,1
0,18,1,2,0,0,1,1,1,4,5,2,1
0,17,1,2,0,0,1,1,1,2,5,23,1
0,17,1,2,0,0,1,0,0,2,3,12,0
0,17,1,3,0,0,1,1,1,3,3,3,1
0,17,1,3,0,0,1,0,1,4,5,1,1
0,17,2,3,0,0,0,0,1,3,2,0,1
1,18,1,3,0,0,0,0,1,3,3,3,1
1,17,1,1,0,0,0,0,1,3,5,3,1
1,17,4,1,0,0,1,0,1,4,4,8,1
0,17,1,3,0,0,1,1,1,4,4,7,0
0,17,2,3,0,0,1,1,1,3,4,4,1
1,18,1,4,0,0,1,0,1,5,5,2,0
0,17,1,3,0,0,1,0,1,4,5,7,1
0,18,1,2,0,0,0,0,1,3,4,0,0
0,18,1,2,0,0,0,0,1,3,2,0,0
0,18,2,4,0,0,0,0,0,4,4,0,0
0,17,1,3,0,0,0,0,1,4,5,16,1
0,19,1,3,1,0,0,1,0,4,5,12,1
0,17,1,2,0,0,1,1,1,3,2,0,0
0,18,1,4,0,0,1,0,1,3,1,7,1
0,17,1,2,0,0,1,1,1,3,2,4,1
0,19,1,3,1,0,0,1,1,3,3,4,1
1,18,1,2,1,0,1,0,1,3,2,0,0
1,18,1,2,0,0,0,0,1,3,5,11,1
0,17,1,2,1,0,1,0,1,3,4,0,0
0,18,1,3,0,0,1,0,1,3,3,4,1
0,18,1,3,0,0,0,0,1,4,1,7,1
1,18,1,3,0,0,0,0,1,3,4,9,1
1,18,1,3,0,0,1,1,1,4,5,0,0
0,17,1,3,0,0,1,1,1,4,4,0,1
1,18,2,1,1,0,1,0,1,5,5,10,1
1,19,3,2,3,0,0,0,1,4,2,8,0
1,17,2,2,0,0,1,1,1,5,3,2,1
1,18,1,1,1,0,0,0,1,3,3,7,0
1,19,3,1,1,0,1,0,1,4,5,4,0
1,17,2,2,0,0,1,1,1,5,2,4,1
0,18,1,2,0,0,1,0,0,3,5,0,0
0,17,2,2,0,0,1,1,1,3,5,4,1
0,17,2,2,0,0,0,0,0,2,5,2,1
1,18,2,1,0,0,0,0,1,3,3,4,1
0,18,2,3,0,0,0,0,1,3,4,0,1
0,18,3,2,0,0,0,0,0,3,5,0,1
1,18,2,2,1,0,0,0,0,4,5,2,1
0,18,2,2,0,0,1,0,1,3,3,0,1
0,17,1,2,0,0,1,1,1,3,1,0,1
0,17,2,2,0,0,0,0,0,2,3,0,1
1,18,2,2,0,0,1,1,0,3,3,4,1
1,18,2,3,0,0,0,1,1,2,5,0,1
0,17,3,1,1,0,1,1,1,2,1,0,0
0,18,2,1,0,0,1,1,1,2,4,0,1
0,18,3,2,0,0,1,1,1,2,5,10,1
0,19,2,2,2,0,0,0,0,2,3,4,0
1,18,3,1,0,0,1,1,1,3,3,3,1
0,17,1,3,0,0,0,0,0,4,3,8,1
0,17,1,1,0,0,0,0,1,5,1,14,0
0,18,2,3,0,0,0,0,1,4,1,0,1
0,18,4,3,0,0,0,0,1,3,4,2,1
0,20,2,3,2,0,1,1,1,4,3,4,1
0,18,1,2,0,0,0,1,1,4,2,4,1
0,18,1,2,0,0,0,1,1,1,1,0,1
0,17,1,2,0,0,1,1,1,5,1,17,1
1,18,1,2,0,0,0,1,1,2,2,4,1
1,18,2,1,0,0,0,0,1,4,5,5,0
1,17,2,2,0,0,0,0,1,4,3,2,1
1,19,2,1,1,0,0,0,0,3,5,0,0
1,18,2,1,1,0,0,1,0,4,3,14,0
0,18,2,3,0,0,0,1,0,3,4,2,1
0,18,3,1,0,0,1,1,1,4,5,7,0
0,19,1,3,1,0,0,0,1,4,5,0,0
0,18,1,2,0,0,1,1,1,3,1,0,0
0,18,2,2,1,0,0,0,0,1,5,0,0
1,20,1,2,2,0,1,1,0,5,4,11,0
1,17,2,1,0,0,0,0,1,4,2,3,1
1,21,1,1,3,0,0,0,0,5,3,3,0
1,18,3,1,0,0,0,0,1,4,5,0,1
1,19,1,1,0,0,0,0,1,2,5,5,0
